Black,BlackElo,White,WhiteElo,Date,Event,First Move,Category,Weekday
albertoPlasta,906,KingMateo,971,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Luckystriker,1296,G_i_n,1312,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Verascardoso,1761,bufone,1653,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Stockfish94,2404,bcn000,2324,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
deneme12376,1595,alcool50,1614,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
abusado,1715,Kileth,1676,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
justabulletplayer,1990,Darth_Stapler,1922,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
giacomo28,1469,fshego,1369,2019.04.30,Rated Blitz game,Nf3,Blitz,Tuesday
Orion9328,1359,Kid_Keres,1715,2019.04.30,Rated Blitz tournament ,e4,Blitz,Tuesday
Patolobos11,1309,mouh89,1270,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Mayhemjesus,1562,Johnnyjack,1512,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
eknight003,1758,DarkGatling,1823,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
pedaaa,1735,Barista73,1723,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
KmiloV,1466,Xhandez,1489,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
sashp27,1119,onehalfer,1049,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
fosforitochess,1811,heyv29,1831,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
SelamDornexi,1123,Stefansson,1157,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
maniselvan,962,nillok,983,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
kspylidor,1445,Velops22,1433,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
hourna,1097,jusehih,1108,2019.04.30,Rated Blitz game,g3,Blitz,Tuesday
panadolextra,1498,Sharam55,1514,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
kjakk,1736,Firasrb,1662,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
crowmax,1278,tal2_0,1291,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Bimot,1738,perozo,1842,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
iojan73,1218,madman90,1237,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Necrow,1236,RubenPeeters,1226,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
chessguillo,1007,ylneo,1012,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
mxn42,1708,NicolicheMonster,1711,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
aaroncalcagno,1132,JoniaDL,1123,2019.04.30,Rated Classical game,d4,Classical,Tuesday
klpufrt,1609,Avicii13,1436,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Diuvercubano,2044,erperez,1816,2019.04.30,Rated Blitz tournament ,Nf3,Blitz,Tuesday
EmotionalLad,1169,josefkeller,1133,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Victorinox007x,1500,Sciddler,1412,2019.04.30,Rated Classical game,e4,Classical,Tuesday
BahmanChess,1154,ghoot31,1187,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
cremant3,1433,fireallday,1455,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
joekarl,1449,EiderDoO,1426,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
bhupalb,834,Bonnylove2005,1075,2019.04.30,Rated Bullet game,e3,Bullet,Tuesday
NoProblemAtAll,1630,krlosarenas,1940,2019.04.30,Rated Blitz tournament ,d4,Blitz,Tuesday
Caribdis,1518,lnascimento23,1364,2019.04.30,Rated Bullet tournament,e4,Bullet,Tuesday
wheberlig,1340,snoitalutargnoc,1257,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
tsiri55,1826,royalflushnuts,2168,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Ol-caytu,1229,schming10,1224,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Eslamspider2010,1666,Maglaglass,1804,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
ahmad_houmani,1253,blackedu,1850,2019.04.30,Rated Bullet tournament ,Nf3,Bullet,Tuesday
jjcooolehhh,1792,sparta79,1755,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
krypt0n,1026,tomenmeta,1116,2019.04.30,Rated Blitz game,Nc3,Blitz,Tuesday
apohagr928,1675,A--pawn,1608,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
abazoo,1807,Suffocate_legend,1770,2019.04.30,Rated Classical game,c4,Classical,Tuesday
kaayanpcs,1198,kevem2017,1173,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
asdera1234,1816,nomadic_farmer,1869,2019.04.30,Rated Rapid game,b3,Rapid,Tuesday
povis,1379,JackChivers,1392,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Mounir12,1462,Toinks04,1580,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Random_Guy_55,1089,flututh,1089,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
vicentillo,1739,spatri,1774,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
uzeyrerdem,951,Ducaness,996,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
gscetin,1692,schwachspiel,1939,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Mikestermc,1500,Kyllikki,1453,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
YuSMoscoW,1303,AmerAlhalape,1364,2019.04.30,Rated Blitz game,c4,Blitz,Tuesday
chatmimi22,1467,grisza999,1927,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
SS69,1770,yuda2018,1501,2019.04.30,Rated Bullet tournament ,e4,Bullet,Tuesday
trinkel79,1188,Tseuke,1160,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
dole_bludger,1509,Grandpa_shark,1500,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
MMB89,1176,Lefiofan,1243,2019.04.30,Rated Bullet game,g3,Bullet,Tuesday
penbook,1247,Rambo6969,1221,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
EnemyChess,878,theeuropeanfreak,800,2019.04.30,Rated Classical game,a4,Classical,Tuesday
Giovinc0,1409,chibaba,1470,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
chessro1984,2032,licko,2023,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
itcfbod,2017,altemio,2244,2019.04.30,Rated Blitz game,Nf3,Blitz,Tuesday
Ancest0r,1721,DmitriyV88,1768,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
SEK3AGORA,1354,swaggatron,1375,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
buzun87,1136,red_owl,1183,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
klbrn,1526,fastsmurf,1498,2019.04.30,Rated Rapid game,c4,Rapid,Tuesday
kl9678910,1889,Vassi22,1753,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/Rh8xK5i3,d4,Bullet,Tuesday
Davec1990,1510,Accumulator7,1483,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
magistrat48er,1380,zakron,1512,2019.04.30,Rated Classical game,d4,Classical,Tuesday
masterzyzz,1179,MHM19,1172,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
Camiil,1769,Jano0262,1813,2019.04.30,Rated Rapid game,c4,Rapid,Tuesday
oxycotin,1420,Hobuss,1483,2019.04.30,Rated Classical game,d4,Classical,Tuesday
alis93,1608,justolu1,1662,2019.04.30,Rated Classical game,d4,Classical,Tuesday
ChristopheAlhanko,1449,muehre,1321,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
Stutnik,981,YBaGGIO,967,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
checkmatemykids,1283,Jujubusiness,1288,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Yogli,2131,gatoxadrez,1906,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
Landau00,1383,Iwillsurvived,1545,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
Michaelac7,1523,rotarualexander,1522,2019.04.30,Rated Bullet game,e4,Bullet,Tuesday
csuter,1180,Sorooshi,1363,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
Freestyletrip,1726,souptaco,1515,2019.04.30,Rated Blitz game,d4,Blitz,Tuesday
Toinks04,1559,Mounir12,1483,2019.04.30,Rated Classical game,e4,Classical,Tuesday
Mohamed_Mowafy,1758,arseen902,1740,2019.04.30,Rated Rapid game,e4,Rapid,Tuesday
bartekce2841,1227,gianlucatat,1192,2019.04.30,Rated Rapid game,d4,Rapid,Tuesday
golden_eye,2039,booga20,1973,2019.04.30,Rated Bullet game,d4,Bullet,Tuesday
keviin007,1310,ogi_bor,1097,2019.04.30,Rated Bullet tournament https://lichess.org/tournament/mSp8G60b,b4,Bullet,Tuesday
fabianno,1974,andre_ramos,1975,2019.04.30,Rated Blitz game,e4,Blitz,Tuesday
bilemba,1522,aziz5632,1542,2019.04.30,Rated Classical game,c4,Classical,Tuesday
